Command,Configuration,Mean Return,Std Return,Min Return,Max Return,Success Rate (%),Crash Rate (%),Shield Activations
ID,No Shield,231.18780625840827,34.05503675408193,144.5128952514868,263.3235921937606,100.0,0.0,0.0
ID,Flow Shield,217.05290022392015,71.69206614199796,11.665850052436468,278.89715792747575,90.0,9.999999999999998,9.9
ID,Quantile Shield,107.03784436221956,114.90673545876813,-21.062669361769892,266.77989133116876,50.0,50.0,9.9
ID,Diffusion Shield,225.07748121420371,75.98691964257843,2.9839919314428727,284.7287676356898,90.0,9.999999999999998,2.2
OOD_moderate,No Shield,199.1367301837333,108.89951425516249,-30.938131900459283,276.867948204991,80.0,19.999999999999996,0.0
OOD_moderate,Flow Shield,229.4518956850206,72.66022562529493,17.296250981305747,275.1058995691907,90.0,9.999999999999998,13.1
OOD_moderate,Quantile Shield,189.18977186389833,95.58282625727969,4.608394684384521,279.2163497569406,80.0,19.999999999999996,8.3
OOD_moderate,Diffusion Shield,195.34014425131932,108.90895073194105,-26.556061963871798,274.15703570210565,80.0,19.999999999999996,1.8
OOD_extreme,No Shield,235.07150648911912,14.10006598281655,206.69234008007192,252.99735933102988,100.0,0.0,0.0
OOD_extreme,Flow Shield,222.1174071680151,38.14508208564214,137.31387106740877,269.91686980227865,100.0,0.0,15.7
OOD_extreme,Quantile Shield,215.9433343744567,62.822540400450045,43.939212034923855,278.8601587056844,90.0,9.999999999999998,10.5
OOD_extreme,Diffusion Shield,245.14481230461837,25.332203970091825,214.75328921468775,285.7684451219947,100.0,0.0,2.2
